time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,20.18,20.6,20.81,20.31,20.53,0.35,287000,374000,0.0,0.0,0.0,0.0,0,0.0
1772618400,20.01,20.3,20.56,20.27,20.34,0.33,463000,338000,0.0,0.0,61.32,61.32,176,-0.19
1772704800,20.23,20.43,20.6,20.24,20.57,0.34,479000,53000,0.0,0.0,3.46,3.46,16,0.23
1772791200,20.12,20.65,20.86,20.45,20.46,0.34,495000,39000,0.0,0.0,3.34,3.34,16,-0.11
1773050400,19.65,20.01,20.01,19.64,19.95,0.3,588000,217000,0.0,0.0,18.79,18.79,93,-0.51
1773136800,19.91,20.17,20.32,20.06,20.24,0.33,606000,75000,0.0,0.0,3.06,3.06,18,0.29
1773223200,19.53,20.31,20.31,19.76,19.8,0.27,649000,89000,0.0,0.0,7.1,7.1,43,-0.44
1773309600,19.31,19.48,19.82,19.31,19.64,0.33,693000,86000,0.0,0.0,6.78,6.78,44,-0.16
1773396000,18.8,19.54,19.54,19.01,19.05,0.25,757000,103000,0.0,0.0,9.24,9.24,64,-0.59
1773655200,18.54,18.94,19.13,18.45,18.83,0.29,937000,347000,0.0,0.0,23.78,23.78,180,-0.22
1773741600,18.64,18.84,18.97,18.69,18.92,0.28,997000,137000,0.0,0.0,6.4,6.4,60,0.09
