time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle
1767002400,3592.1,3610.7,3634.9,3590,3594.9,2.8,2281400,3475600,0,0,0,0.0
1767088800,3660.3,3577.1,3659,3577.1,3652,-8.3,617000,2442200,0,0,-72.96,-72.96
1767175200,3709.2,3687,3743.3,3663.7,3733.4,24.2,18015400,1808400,0,0,2819.84,2819.84
1767261600,3761,3745,3795,3745,3783.5,22.5,17989400,1676800,0,0,-0.14,-0.14
1767348000,3802.4,3780,3834.1,3772.4,3820.1,17.7,18257000,1855000,0,0,1.49,1.49
1767607200,3790.3,3825.1,3852,3795,3805.4,15.1,18009600,1893800,0,0,-1.36,-1.36
1767693600,3785.6,3819,3834.5,3778.1,3802.9,17.3,18061800,1108800,0,0,0.29,0.29
1767780000,3748.8,3825,3825,3735.1,3758.5,9.7,18033800,1165200,0,0,-0.16,-0.16
1767866400,3724,3747,3770.6,3709.9,3739.7,15.7,18095400,1214400,0,0,0.34,0.34
1767952800,3677.3,3715.1,3757.9,3678,3687,9.7,17935000,1393400,0,0,-0.89,-0.89
1768212000,3682,3705,3730.8,3605,3688.7,6.7,17856000,1681800,0,0,-0.44,-0.44
1768298400,3661.5,3688.7,3711.6,3636.2,3667.6,6.1,17757200,1174400,0,0,-0.55,-0.55
1768384800,3649.5,3675.4,3683,3637.6,3652.2,2.7,17685800,953000,0,0,-0.4,-0.4
1768557600,3658.2,3679.2,3731,3655.2,3659.9,1.7,17225800,2360400,0,0,-2.6,-2.6
