time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,1465.7,1462,1469.6,1459.1,1467.1,1.4,13312125,1417125,0,0,0,0.0,0,1467.1
1768212000,1465.2,1472,1472,1445.6,1466.5,1.3,13120500,1612500,0,0,-1.44,-1.44,-191625,-0.6
1768298400,1448.3,1460.2,1469.3,1436.1,1447.8,-0.5,13196250,2419875,0,0,0.58,0.58,75750,-18.7
1768384800,1434.5,1440.7,1451,1427.4,1434.1,-0.4,12959250,1344750,0,0,-1.8,-1.8,-237000,-13.7
1768557600,1397.5,1388.8,1413.9,1369.6,1396.8,-0.7,12930375,3975750,0,0,-0.22,-0.22,-28875,-37.3
1768816800,1392.3,1395.2,1396.6,1371,1390.4,-1.9,12926625,1776750,0,0,-0.03,-0.03,-3750,-6.4
1768903200,1378.4,1388.4,1393.5,1373,1375.6,-2.8,12693375,1980750,0,0,-1.8,-1.8,-233250,-14.8
1768989600,1369.6,1377.8,1398,1363.1,1368.2,-1.4,9682500,4842000,0,0,-23.72,-23.72,-3010875,-7.4
1769076000,1370.4,1370,1384.3,1368.3,1373.3,2.9,6237750,5018250,0,0,-35.58,-35.58,-3444750,5.1
1769162400,1315,1369.7,1384,1304.9,1315.1,0.1,2568750,9175125,0,0,-58.82,-58.82,-3669000,-58.2
1769508000,1313,1296.5,1320.6,1284,1311.2,-1.8,1875375,3725250,0,0,-26.99,-26.99,-693375,-3.9
1769594400,1328.4,1324,1337.7,1317.7,1334.3,5.9,14274000,1711125,0,0,661.13,661.13,12398625,23.1
1769680800,1320.9,1330.5,1336.6,1314.4,1327,6.1,14070750,1659000,0,0,-1.42,-1.42,-203250,-7.3
1769767200,1324,1323.6,1334,1322.1,1329.9,5.9,14077500,1021500,0,0,0.05,0.05,6750,2.9
1769940000,1328.9,1334,1341.3,1311.7,1328,-0.9,13897500,1286250,0,0,-1.28,-1.28,-180000,-1.9
1770026400,1311.6,1331,1331,1296.4,1314,2.4,13673250,1348500,0,0,-1.61,-1.61,-224250,-14.0
1770112800,1322.8,1350,1380,1325.4,1327.3,4.5,13797000,2572875,0,0,0.91,0.91,123750,13.3
1770199200,1326.7,1331.2,1338.3,1323.5,1332.2,5.5,13833750,1252875,0,0,0.27,0.27,36750,4.9
1770285600,1333.3,1335,1341.4,1325.9,1339.1,5.8,13731000,1057875,0,0,-0.74,-0.74,-102750,6.9
1770372000,1330,1339,1339,1321.3,1330.1,0.1,13628625,1244625,0,0,-0.75,-0.75,-102375,-9.0
1770631200,1342.5,1345,1356.4,1332.5,1349.4,6.9,13747125,1549875,0,0,0.87,0.87,118500,19.3
1770717600,1342.1,1352,1361.2,1341,1346.3,4.2,13749000,1204875,0,0,0.01,0.01,1875,-3.1
1770804000,1349.9,1349.1,1354.7,1337.8,1350.8,0.9,13610250,684000,0,0,-1.01,-1.01,-138750,4.5
1770890400,1330,1345.1,1348.2,1324.2,1330.6,0.6,13661250,1009125,0,0,0.37,0.37,51000,-20.2
1770976800,1331.5,1323.2,1336.7,1318.1,1331.3,-0.2,13580250,1279875,0,0,-0.59,-0.59,-81000,0.7
