time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767002400,7272,7328.5,7366.5,7231.5,7255,-17,677950,1603175,0,0,0,0.0,0,7255.0
1767088800,7192.5,7246,7296.5,7125.5,7190.5,-2.0,470750,1001350,0,0,-30.56,-30.56,-207200,-64.5
1767175200,7312.5,7202.5,7349,7178,7341,28.5,2898700,586800,0,0,515.76,515.76,2427950,150.5
1767261600,7348,7345,7393,7300,7381.5,33.5,2912300,401300,0,0,0.47,0.47,13600,40.5
1767348000,7334.5,7382,7420,7339.5,7360,25.5,2915700,397200,0,0,0.12,0.12,3400,-21.5
1767607200,7482.5,7369,7538,7354.5,7498,15.5,2928000,624300,0,0,0.42,0.42,12300,138
1767693600,7522.5,7476.5,7605,7476.5,7557,34.5,2951400,435300,0,0,0.8,0.8,23400,59
1767780000,7582.5,7572.5,7625,7527,7617,34.5,2974200,367300,0,0,0.77,0.77,22800,60
1767866400,7551,7605,7630,7564,7585,34,2980300,372800,0,0,0.21,0.21,6100,-32
1767952800,7507,7578,7639.5,7501,7519.5,12.5,2956300,530300,0,0,-0.81,-0.81,-24000,-65.5
1768212000,7436,7509,7523,7344,7470,34,2961600,515200,0,0,0.18,0.18,5300,-49.5
1768298400,7404,7473.5,7529.5,7365.5,7413,9,2870300,376400,0,0,-3.08,-3.08,-91300,-57
1768384800,7358,7415.5,7415.5,7233.5,7357,-1,2830000,669600,0,0,-1.4,-1.4,-40300,-56
1768557600,7315,7332,7431.5,7308,7336.5,21.5,2829300,447400,0,0,-0.02,-0.02,-700,-20.5
1768816800,7323.5,7299,7390,7280,7337.5,14.0,2789200,257500,0,0,-1.42,-1.42,-40100,1.0
1768903200,7173.5,7348.5,7369.5,7135,7173,-0.5,2678900,499200,0,0,-3.95,-3.95,-110300,-164.5
1768989600,7140,7168,7230,7017,7137,-3,2249100,984700,0,0,-16.04,-16.04,-429800,-36
1769076000,7049,7068,7320,7015.5,7040,-9,1433000,1359900,0,0,-36.29,-36.29,-816100,-97
1769162400,6973,7036,7080,6949.5,6967.5,-5.5,469500,1310500,0,0,-67.24,-67.24,-963500,-72.5
