time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767002400,234.82,235.13,238.48,233.94,234.46,-0.36,17318250,30777750,0,0,0,0.0,0,234.46
1767088800,234.68,234.44,235.29,232.98,234.19,-0.49,3748500,20792250,0,0,-78.36,-78.36,-13569750,-0.27000000000001023
1767175200,240.38,235.3,242.72,235.3,242.08,1.7,111786750,15824250,0,0,2882.17,2882.17,108038250,7.890000000000015
1767261600,237.94,242.4,242.62,238.97,239.46,1.52,113672250,9681750,0,0,1.69,1.69,1885500,-2.6200000000000045
1767348000,241.46,239.12,243.4,239.12,242.97,1.51,114804000,10563750,0,0,1.0,1.0,1131750,3.509999999999991
1767607200,238.09,248.3,248.3,236.4,238.75,0.66,114329250,33770250,0,0,-0.41,-0.41,-474750,-4.219999999999999
1767693600,241.89,239.99,242.95,238.78,242.44,0.55,111609000,16299000,0,0,-2.38,-2.38,-2720250,3.6899999999999977
1767780000,239.06,241.35,242.19,238.65,239.56,0.5,109037250,10053000,0,0,-2.3,-2.3,-2571750,-2.8799999999999955
1767866400,231.42,238.8,238.8,231.25,231.8,0.38,107982000,15513750,0,0,-0.97,-0.97,-1055250,-7.759999999999991
1767952800,234.09,231.28,238.79,231.28,234.37,0.28,106503750,17313750,0,0,-1.37,-1.37,-1478250,2.569999999999993
1768212000,235.71,235.33,236.82,232.7,236.46,0.75,107133750,13639500,0,0,0.59,0.59,630000,2.0900000000000034
1768298400,243.78,236.5,244.31,236.39,244.01,0.23,109518750,32211000,0,0,2.23,2.23,2385000,7.549999999999983
1768384800,248.23,244,251.1,243.95,248.7,0.47,107010000,34407000,0,0,-2.29,-2.29,-2508750,4.689999999999998
1768557600,247.17,246.9,247.79,242.5,247.07,-0.1,105342750,18958500,0,0,-1.56,-1.56,-1667250,-1.6299999999999955
1768816800,243.11,245.13,247.82,242.94,243.48,0.37,104991750,10140750,0,0,-0.33,-0.33,-351000,-3.5900000000000034
1768903200,240.39,242.8,245.22,240.3,240.88,0.49,100644750,12521250,0,0,-4.14,-4.14,-4347000,-2.5999999999999943
1768989600,242.37,241.02,244.33,239.93,242.14,-0.23,92459250,25258500,0,0,-8.13,-8.13,-8185500,1.259999999999991
1769076000,244.01,244.05,246.27,242.31,243.78,-0.23,76630500,30714750,0,0,-17.12,-17.12,-15828750,1.6400000000000148
1769162400,245.47,243.3,246.1,241.52,244.91,-0.56,52200000,39476250,0,0,-31.88,-31.88,-24430500,1.1299999999999955
